id,has_vocals
2,True
3,False
4,False
5,True
7,False
8,False
10,False
12,False
13,False
17,False
18,True
19,False
20,False
21,True
22,False
24,False
25,False
31,True
32,False
35,False
37,False
39,False
40,False
41,True
42,False
43,False
44,True
45,False
46,False
47,False
48,False
49,False
50,True
51,False
52,True
53,True
54,True
55,False
56,False
58,True
59,False
60,False
62,False
64,True
65,False
67,False
68,True
69,False
70,False
71,False
72,True
73,False
74,True
76,False
77,True
78,False
79,True
80,False
81,True
82,True
83,False
84,False
85,False
86,False
87,False
88,False
89,False
90,False
91,True
92,True
93,False
95,False
96,False
98,False
99,True
101,False
102,False
103,False
104,False
105,False
106,False
107,True
108,False
109,False
110,False
111,False
112,False
113,True
114,False
115,True
116,False
117,False
118,True
119,False
120,False
121,True
122,False
123,False
124,False
125,False
126,False
127,True
128,False
129,False
130,True
131,False
133,False
134,True
135,True
136,False
137,True
138,False
140,True
142,True
143,True
144,False
145,False
146,True
148,False
149,False
150,False
151,False
152,False
153,True
154,False
155,False
156,False
157,True
158,False
159,False
160,False
161,True
162,True
163,True
164,False
166,False
167,True
168,False
169,True
170,True
171,True
172,False
173,False
174,True
175,False
176,False
177,True
178,False
179,False
180,True
181,True
182,True
184,False
185,True
186,True
187,True
188,False
189,True
190,False
191,True
192,True
193,False
194,True
195,False
196,False
197,True
198,False
199,False
201,True
202,False
203,True
204,True
205,True
206,False
207,False
208,True
209,False
210,False
211,False
212,True
213,False
214,True
215,False
216,False
217,False
218,True
219,False
220,False
221,False
222,True
223,False
224,False
225,False
226,True
227,True
228,True
229,False
231,True
232,False
233,True
234,False
235,False
236,False
237,True
238,True
239,True
240,False
241,True
242,False
243,True
244,True
245,False
246,False
247,False
248,False
250,False
253,True
254,False
257,False
258,True
260,False
262,True
264,False
265,True
266,True
269,False
270,False
272,False
273,False
274,True
275,False
276,False
278,False
279,False
280,True
281,False
282,False
284,False
285,False
286,True
288,False
289,True
290,False
292,False
293,False
294,True
296,False
297,False
298,False
299,False
300,False
301,False
302,False
303,True
304,False
305,False
306,False
307,False
308,False
309,False
310,True
311,True
312,False
313,False
314,False
315,False
316,False
317,False
318,False
319,False
320,False
321,True
322,True
323,False
324,False
325,False
326,True
327,True
328,True
329,True
330,False
332,True
333,False
334,True
335,False
336,False
338,False
339,False
340,False
341,False
342,True
343,False
344,False
345,True
346,False
347,False
348,False
349,True
350,False
352,False
353,False
354,True
355,True
356,True
357,False
358,False
359,True
360,False
361,False
362,False
364,False
365,False
366,True
367,False
368,False
369,True
370,True
371,False
372,False
374,False
375,True
376,False
378,False
379,False
380,True
381,False
383,False
384,False
386,False
387,True
390,False
391,False
392,False
393,False
395,False
397,False
399,False
400,False
401,False
402,False
403,False
404,False
405,False
406,False
407,False
408,False
410,False
415,False
416,False
419,False
420,False
422,True
423,False
425,False
426,True
427,False
428,False
429,False
430,False
431,False
432,False
435,False
436,True
437,False
440,False
441,True
442,False
444,False
445,True
448,False
449,False
450,False
451,False
452,False
453,True
454,False
455,False
456,False
458,False
459,True
460,False
461,True
462,True
463,True
464,False
466,False
467,False
468,False
469,False
472,False
473,False
475,False
477,False
478,False
479,False
480,True
481,False
482,False
484,False
485,True
486,True
487,False
488,False
489,False
490,False
492,False
493,False
494,False
496,False
497,False
498,False
499,False
500,False
501,False
502,False
503,False
504,False
506,False
507,True
512,True
513,True
514,False
515,False
518,False
519,False
520,False
521,False
522,False
523,False
524,False
525,False
527,False
529,False
530,False
535,False
536,False
537,True
540,False
544,False
547,True
550,False
551,False
554,True
555,False
556,False
558,True
560,False
561,False
564,True
565,False
568,True
574,False
577,False
579,False
580,True
581,True
582,False
584,True
585,True
586,False
591,True
592,False
594,True
597,False
598,False
600,False
605,True
606,False
607,False
608,False
609,False
610,False
611,False
612,False
613,True
614,False
615,True
616,False
617,False
620,False
621,False
622,False
623,True
625,False
628,False
629,False
631,False
632,False
634,False
635,False
637,True
638,False
639,False
640,False
643,False
644,False
645,False
646,False
647,False
648,False
649,True
650,False
651,True
652,False
653,False
654,False
656,False
657,False
658,False
660,True
661,False
662,False
663,False
664,False
665,False
666,True
667,True
668,False
671,False
672,True
673,False
674,False
675,False
676,False
677,False
681,False
682,False
684,False
685,True
686,True
687,False
688,False
689,False
690,False
691,False
692,False
693,False
695,False
696,False
697,False
698,False
699,False
700,False
702,False
703,False
704,False
706,False
707,False
708,True
709,False
710,True
711,False
712,False
713,False
714,False
715,True
717,False
718,False
719,False
721,False
722,False
723,False
724,False
725,False
726,True
727,True
728,False
729,False
730,False
731,False
732,False
733,False
734,False
735,False
736,False
737,False
738,True
739,False
740,False
741,False
742,False
743,False
744,False
745,False
746,True
747,True
748,False
749,False
750,False
756,False
757,False
758,False
759,False
763,False
764,False
767,False
769,False
773,False
775,False
776,True
777,True
779,False
780,False
781,False
782,False
784,True
787,True
789,False
790,False
791,True
794,False
795,False
796,True
797,False
798,False
799,False
800,False
801,False
804,False
805,False
806,True
807,False
808,True
810,False
811,False
813,False
814,False
815,False
818,False
819,False
820,False
823,True
824,False
825,False
826,True
829,False
830,True
831,False
833,False
834,True
836,False
839,False
841,False
844,True
845,True
846,False
848,False
850,True
851,False
852,True
854,True
855,False
856,True
857,False
858,False
859,False
860,False
863,True
864,False
865,False
866,False
867,True
869,True
871,False
872,False
873,False
874,True
876,False
879,False
880,False
882,False
884,False
886,False
887,False
889,False
890,False
891,True
892,True
893,False
897,False
898,False
899,False
902,True
903,False
904,False
908,False
909,False
910,False
911,True
913,False
915,False
921,False
924,False
925,True
926,False
928,False
931,False
932,False
934,False
936,False
938,False
939,True
941,False
942,False
944,False
945,True
949,False
952,False
954,True
955,False
956,False
957,True
958,False
959,False
960,False
961,False
962,False
964,False
967,True
968,False
970,False
973,False
974,False
976,False
977,False
978,False
979,False
980,False
981,False
983,True
985,True
986,False
987,False
988,False
989,False
990,True
991,False
993,False
994,True
995,True
996,False
997,False
999,False
1000,False
1001,False
1002,False
1003,False
1004,False
1005,False
1006,True
1007,True
1008,True
1009,True
1010,False
1011,False
1012,False
1013,False
1014,True
